,cv,type,ru,,
,сăмса ,adjective,носовой,,
,сăмса ,noun neuter,рыло,,
,сăрăх ,verb,протекать,,
,сăрăх ,verb,сочиться,,
,сис ,verb,догадываться,,
,сис ,verb,замечать,,
,сис ,verb,ощущать,,
,сис ,verb,предполагать,,
,сис ,verb,примечать,,
,сис ,verb,чувствовать,,
,суран ,noun feminine,рана,,
,суран ,noun feminine,травма,,
,суран ,nonetype,больное место,,
,суран ,noun neuter,ранение,,
,суран ,noun verb,ушиб,,
,сÿрĕклен ,nonetype,безучастным,,
,сÿрĕклен ,nonetype,становиться вялым,,
,çавăтса тух ,verb,вывести,,
,çапса пăрах ,verb,пришибить,,
,çапса пăрах ,verb,убить,,
,çăрта ,noun neuter,отверстие,,
,çăрта ,noun feminine,дырка,,
,çăрта ,noun neuter,ушко,,
,çерçи ,noun masculine,воробей,,
,çерçи ,nonetype,воробьиный,,
,çĕрĕн-кунĕн ,nonetype,день и ночь,,
,çĕрĕн-кунĕн ,nonetype,днем и ночью,,
,çиме ,verb impf,есть,,
,çиме ,verb,кушать,,
,çиме ,noun feminine,еда,,
,çиме ,nonetype,кушанье,,
,çиме ,noun feminine,пища,,
,çиме ,nonetype,провизия,,
,çиме ,noun,продукты,,
,çирĕплĕх ,noun feminine,крепость,,
,çирĕплĕх ,nonetype,незыблемость,,
,çирĕплĕх ,noun,прочность,,
,çирĕплĕх ,noun,устойчивость,,
,çут ,nonetype,включить свет,,
,çут ,verb,зажечь,,
,çут ,verb,засветить,,
,кăвак çутăлла ,nonetype,на заре,,
,кăвак çутăлла ,nonetype,ранним утром,,
,çыру ,noun feminine,письменность,,
,çыру ,noun neuter,письмо,,
,çыру ,noun masculine,почерк,,
,тăван ,adjective,родной,,
,тăван ,noun particle,родня,,
,тăван ,noun,родственник,,
,тăвăр ,adjective adverb,тесно,,
,тăвăр ,adjective,тесный,,
,тăвăр ,adjective,узкий,,
,тăвăр ,adjective adverb,узко,,
,тĕм ,noun,бугор,,
,тĕм ,noun masculine,куст,,
,тĕм ,noun masculine,холм,,
,тĕрĕсле ,verb,испытывать,,
,тĕрĕсле ,verb,пересчитывать,,
,тĕрĕсле ,verb,проверять,,
,тĕрĕсле ,verb,сверять,,
,тĕрĕсле ,nonetype,сличать,,
,Эфиопи ,proper,Эфиопия,,
,Эфиопи ,nonetype,эфиопия,,
,кăсăк ,nonetype,занимательность,,
,кăсăк ,adjective,занимательный,,
,кăсăк ,noun,интерес,,
,кăсăк ,adjective,интересный,,
,кĕлетке ,noun masculine,корпус,,
,кĕлетке ,noun neuter,тело,,
,кĕлетке ,noun neuter,туловище,,
,тĕтре ,noun masculine,туман,,
,тĕтре ,noun,марево,,
,тĕтре ,noun feminine,мгла,,
,тĕтре ,nonetype,Туман,,
,тивĕçлĕ ,adjective,должный,,
,тивĕçлĕ ,nonetype,должным образом,,
,тивĕçлĕ ,adjective adverb,достойно,,
,тивĕçлĕ ,adjective,достойный,,
,тивĕçлĕ ,nonetype,заслуженно,,
,тивĕçлĕ ,particle,заслуживающий,,
,тивĕçлĕ ,adverb adposition,соответственно,,
,турăш ,noun feminine,икона,,
,тÿмелен ,nonetype,застегиваться,,
,тына ,noun,телка,,
,улпут ,noun,барин,,
,улпут ,adjective,барский,,
,упăшкаллă ,adverb,замужем,,
,упăшкаллă ,adjective,замужняя,,
,усра ,verb,беречь,,
,усра ,verb,воспитывать,,
,усра ,verb,держать,,
,усра ,verb,растить,,
,усра ,verb,содержать,,
,усра ,verb,хранить,,
,утă ,proper masculine,июль,,
,утă ,noun neuter,сено,,
,утă ,noun feminine,походка,,
,утă ,nonetype,Июль,,
,утă ,noun neuter,сено,,
,ÿт-пÿ ,adjective,телесный,,
,ÿт-пÿ ,noun neuter,тело,,
,ÿт-пÿ ,noun neuter,туловище,,
,ÿт-пÿ ,noun,фигура,,
,хăтăр ,verb,бранить,,
,хăтăр ,verb,пробирать,,
,хăтăр ,verb,ругать,,
,хĕл ,noun feminine,зима,,
,хĕл ,adjective,зимний,,
,хирĕçÿлĕх ,nonetype,непоследовательность,,
,хирĕçÿлĕх ,noun,противоречие,,
,хурат ,verb,грязнить,,
,хурат ,nonetype,красить в черный цвет,,
,хурат ,verb,пачкать,,
,хурат ,verb,стирать,,
,хурат ,nonetype,чернить,,
,хÿтĕлен ,verb,защищаться,,
,хÿтĕлен ,verb,обороняться,,
,хыткан ,nonetype,сухопарый,,
,хыткан ,adjective,худой,,
,хыткан ,adjective,худощавый,,
,чатăр ,noun feminine,палатка,,
,чатăр ,nonetype,шатер,,
,чатăр ,nonetype,шатровый,,
,чăнласа ,nonetype,в самом деле,,
,чăнласа ,nonetype,всерьез,,
,чăнласа ,interjection adverb,серьезно,,
,чăхăмла ,nonetype,артачиться,,
,чăхăмла ,nonetype,быть строптивым,,
,чăхăмла ,nonetype,проявлять норов,,
,чăхăмла ,nonetype,упрямиться,,
,чĕвĕлтет ,verb,пищать,,
,чĕвĕлтет ,nonetype,чирикать,,
,чĕвĕлтет ,verb,щебетать,,
,чир ,noun feminine,болезнь,,
,чир ,noun masculine,недуг,,
,чир ,noun feminine,хворь,,
,шанчăклă ,adjective adverb,верно,,
,шанчăклă ,adjective,верный,,
,шанчăклă ,nonetype,надежно,,
,шанчăклă ,nonetype,надежный,,
,шанчăклă ,adjective adverb,преданно,,
,шанчăклă ,adjective particle,преданный,,
,шăнкăртаттар ,nonetype,звенеть чем-л.,,
,шăнкăртаттар ,verb,звонить,,
,вĕт шăрçа ,noun,бисер,,
,шуйттан ,noun masculine,бес,,
,шуйттан ,noun masculine,дьявол,,
,шуйттан ,adjective,дьявольский,,
,шуйттан ,noun feminine,сатана,,
,шуйттан ,nonetype,сатанинский,,
,шуйттан ,noun,черт,,
,эшкер ,noun,банда,,
,эшкер ,noun,ватага,,
,эшкер ,noun feminine,орда,,
,эшкер ,noun,полчище,,
,эшкер ,noun feminine,толпа,,
,якал ,nonetype,ровным,,
,якал ,nonetype,становиться гладким,,
,якал ,nonetype,становиться скользким,,
,кичемлĕх ,noun feminine,грусть,,
,кичемлĕх ,noun,скука,,
,кичемлĕх ,noun feminine,тоска,,
,кунĕн-çĕрĕн ,adverb,денно и нощно,,
,кунĕн-çĕрĕн ,nonetype,днем и ночью,,
,курăнса лар ,verb,виднеться,,
,май ,noun masculine,метод,,
,май ,noun,направление,,
,май ,nonetype,прием,,
,май ,noun masculine,способ,,
,май ,noun feminine,сторона,,
,мăлатук ,noun masculine,молот,,
,мăлатук ,noun masculine,молоток,,
,нÿрĕк ,noun,влага,,
,нÿрĕк ,adjective,влажный,,
,нÿрĕк ,noun,осадки,,
,нÿрĕк ,adjective,сырой,,
,нÿрĕк ,noun,сырость,,
,пайăн-пайăн ,nonetype,по частям,,
,пайăн-пайăн ,noun,частями,,
,паллаш ,verb,знакомиться,,
,пăшал ,adjective,ружейный,,
,пăшал ,noun,ружье,,
,перĕн ,verb,касаться,,
,перĕн ,verb,прикасаться,,
,перĕн ,verb,стреляться,,
,пĕрлеш ,verb,объединяться,,
,пĕрлеш ,verb,соединяться,,
,пĕрлеш ,verb,сходиться,,
,пичке ,noun feminine,бочка,,
,пусăрăн ,verb,оседать,,
,пусăрăн ,nonetype,слеживаться,,
,пусăрăн ,nonetype,уплотняться,,
,пусăрăн ,verb,успокаиваться,,
,пусăрăн ,verb,утихать,,
,пусару ,noun,инициатива,,
,пусару ,noun,начинание,,
,пÿсĕр ,noun,грыжа,,
,сакай ,nonetype,подпол,,
,сакай ,noun,подполье,,
,сăн ,noun,вид,,
,сăн ,noun,внешность,,
,сăн ,noun neuter,лицо,,
,сăн ,noun,облик,,
,сăранлан ,nonetype,загрубеть,,
,сăранлан ,nonetype,задубеть,,
,сăранлан ,nonetype,залосниться,,
,сăранлан ,nonetype,засалиться,,
,сивĕт ,verb,остужать,,
,сивĕт ,verb,отваживать,,
,сивĕт ,verb,отвращать,,
,сивĕт ,verb,отталкивать,,
,сивĕт ,verb,охлаждать,,
,сивĕт ,nonetype,холодать,,
,сиплен ,verb,лечиться,,
,суеçĕ ,noun,лгун,,
,суеçĕ ,noun,лжец,,
,суеçĕ ,noun,обманщик,,
,сунтăх ,noun masculine,сундук,,
,сунтăх ,noun masculine,ящик,,
,сыхла ,verb,беречь,,
,сыхла ,verb,защищать,,
,сыхла ,verb,оборонять,,
,сыхла ,verb,охранять,,
,сыхла ,verb,сторожить,,
,сыхла ,verb,хранить,,
,çавăнпа ,adverb,оттого,,
,çавăнпа ,adverb,потому,,
,çавăнпа ,adverb,поэтому,,
,çамрăк ,adjective,молодой,,
,çамрăк ,noun masculine,молодой человек,,
,çарамаслан ,verb,раздеваться,,
,çарамаслан ,nonetype,снимать верхнюю одежду,,
,çăрттан ,noun feminine,щука,,
,çăрттан ,adjective,щучий,,
,çăткăнлан ,nonetype,быть жадным,,
,çăткăнлан ,nonetype,жадничать,,
,çеç ,adverb,лишь,,
,çеç ,adverb,только,,
,çÿлтен ,nonetype,с высоты,,
,çÿлтен ,adverb adposition,сверху,,
,ташă ,noun masculine,танец,,
,ташă ,noun,пляска,,
,ташă ,nonetype,плясовой,,
,ташă ,adjective,танцевальный,,
,тĕллев ,nonetype,видеть сон,,
,тĕллев ,nonetype,задача тёллен сниться,,
,тĕллев ,noun verb,цель,,
,ылтăн тĕслĕ ,adjective,золотистый,,
,тие ,verb,грузить,,
,тие ,verb,нагружать,,
,тин ,adverb,лишь,,
,тин ,adverb,наконец-то,,
,тин ,adverb,только,,
,тин ,nonetype,только сейчас,,
,тин ,adverb,только что,,
,туртса пыр ,verb,везти,,
,туртса пыр ,verb,катить,,
,туртса пыр ,verb,тянуть,,
,тутлантар ,nonetype,подслащивать,,
,уланкă ,noun masculine,окунь,,
,уланкă ,nonetype,окунёвый,,
,упа йĕнни ,noun,берлога,,
,урçа ,noun,вдовец,,
,урçа ,nonetype,вдовий,,
,ухмах ,noun masculine,дурак,,
,ухмах ,noun masculine,глупец,,
,ухмах ,noun masculine,дурень,,
,ухмах ,noun masculine,балбес,,
,ухмах ,noun masculine,болван,,
,ухмах ,adjective masculine,глупый,,
,ухмах ,noun masculine,дебил,,
,ухмах ,noun feminine,дура,,
,ухмах ,masculine,дуралей,,
,ухмах ,adjective,дурной,,
,ухмах ,noun masculine,идиот,,
,ухмах ,noun feminine,идиотка,,
,ухмах ,noun masculine,сумасшедший,,
,ухмах ,noun,тупица,,
,ухмах ,adjective,тупой,,
,хаваслантар ,verb,вдохновлять,,
,хаваслантар ,nonetype,воодушевлять,,
,хаваслантар ,verb,радовать,,
,хаплат ,verb,бабахать,,
,хаплат ,verb,грохать,,
,хаплат ,verb,падать,,
,хаплат ,verb,ухать,,
,хаплат ,nonetype,хлопаться,,
,хăрпăк ,noun feminine,ресница,,
,хăрпăк ,noun,ресницы,,
,хăрпăк ,noun feminine,снежинка,,
,хĕç-пăшал ,noun,вооружение,,
,хĕç-пăшал ,noun neuter,оружие,,
,хирĕçтер ,nonetype,вызывать ссору,,
,хирĕçтер ,verb,ссорить,,
,хресченле ,adjective,крестьянский,,
,хресченле ,nonetype,по-крестьянски,,
,Мускав хули ,nonetype,город Москва,,
,хуралçă ,noun masculine,охранник,,
,хуралçă ,noun,сторож,,
,хысак ,noun,выступ,,
,хысак ,noun,грань,,
,хысак ,noun,мыс,,
,хысак ,noun neuter,ребро,,
,хысак ,noun feminine,скала,,
,хысак ,nonetype,утес,,
,чараксăр ,adjective,болтливый,,
,чараксăр ,nonetype,невоздержанный на язык,,
,чараксăр ,adjective,несдержанный,,
,чăннипе ,nonetype,в самом деле,,
,чăннипе ,nonetype,по правде,,
,чăртмах ,noun,грубиян,,
,чăртмах ,adjective,грубый,,
,чăртмах ,noun,невежа,,
,чăртмах ,adjective,невежливый,,
,чĕлпĕр ,noun,повод,,
,чĕлпĕр ,noun,поводья,,
,чухăн ,adjective adverb,бедно,,
,чухăн ,adjective masculine,бедный,,
,чухăн ,noun masculine,бедняк,,
,чухăн ,nonetype,неимущий,,
,чухăн ,adjective noun masculine,нищий,,
,шакла ,adjective adverb,коротко,,
,шакла ,adjective,лысый,,
,шакла ,adverb,наголо,,
,шакла ,adjective,плешивый,,
,шăк ,noun particle feminine,моча,,
,шăк ,adjective,мочевой,,
,шăк ,nonetype,Моча,,
,шăнкăрч ,noun masculine,скворец,,
,шăнкăрч ,nonetype,скворцовый,,
,шăнкăрч ,nonetype,Скворцы,,
,шăхăрт ,verb,свистеть,,
,ырханлан ,nonetype,тощать,,
,ырханлан ,verb,худеть,,
,ямшăк ,noun masculine,ямщик,,
,ямшăк ,nonetype,ямщицкий,,
,Куров ,nonetype,Куров,,
,ывăл ача ,noun masculine,мальчик,,
,арканзас ,nonetype,арканзас,,
,арканзас ,proper masculine,Арканзас,,
,пилеш кайăкĕ ,noun masculine,дрозд,,
,пилеш кайăкĕ ,noun masculine,рябинник,,
,пĕлӳ ,noun neuter,знание,,
,пĕлӳ ,noun,знание,,
,иттерби ,noun masculine,иттербий,,
,иттерби ,noun,иттербий,,
,раççей патшалăхĕ ,nonetype,россия,,
,цези ,noun masculine,цезий,,
,цези ,noun masculine,цезий,,
,Ислам ,nonetype,Ислам,,
,Ислам ,noun masculine,ислам,,
,Вашингтон ,proper masculine,Вашингтон,,
,Бискай кӳлмекĕ ,nonetype,Бискайский залив,,
,йытă ,noun feminine,собака,,
,йытă ,noun masculine,пёс,,
,йытă ,adjective,собачий,,
,ӳпке ракĕ ,masculine,рак лёгких,,
,ӳпке ракĕ ,nonetype,рак лёгкого,,
,ӳпке ракĕ ,nonetype,рак лёгкого,,
,сиам кушакĕ ,noun feminine,сиамская кошка,,
,Гумилёв Лев Николаевич ,nonetype,Лев Николаевич Гумилёв,,
,андорра ,nonetype,андорра,,
,андорра ,proper feminine,Андорра,,
,хĕрарăм ,noun feminine,женщина,,
,хĕрарăм ,adjective,женский,,
,хĕрарăм ,noun feminine,женщина,,
,Мэн утравĕ ,masculine,Остров Мэн,,
,галактика ,noun feminine,галактика,,
,фонологи ,noun feminine,фонология,,
,фонологи ,noun,фонология,,
,юпа ,noun masculine,октябрь,,
,юпа ,noun masculine,столб,,
,юпа ,noun feminine,колонна,,
,юпа ,noun feminine,опора,,
,юпа ,nonetype,Октябрь,,
,юпа ,proper masculine,октябрь,,
,ла-манш ,nonetype,ла-манш,,
,Звенигород ,noun,Звенигород,,
,маркăмăш ,noun masculine,мышьяк,,
,Адлер ,noun,Адлер,,
,хань ,nonetype,хань,,
,Китай Халăх Республики ,proper feminine,КНР,,
,Китай Халăх Республики ,proper feminine,Китайская Народная Республика,,
,Китай Халăх Республики ,nonetype,китайская народная республика,,
,ваклă хисеп ,noun neuter,рациональное число,,
,ваклă хисеп ,nonetype,рациональное число,,
,Леся Украинка ,nonetype,Леся Украинка,,
,радиобиологи ,nonetype,радиобиология,,
,радиобиологи ,nonetype,радиобиология,,
,страсбург ,nonetype,страсбург,,
,пысăк сирпĕнӳ ,nonetype,большой взрыв,,
,чӗрӗп ,noun masculine,ёж,,
,улан батор ,nonetype,улан-батор,,
,улан батор ,proper masculine,Улан-Батор,,
,Адана ,proper,Адана,,
,йĕке хӳре ,noun,крысы,,
,шӑматкун ,noun feminine,суббота,,
,кăнтăр çур чăмăрĕ ,nonetype,южное полушарие,,
,акшар ,noun feminine,известь,,
,акшар ,nonetype,Известь,,
,калькулятор ,noun masculine,калькулятор,,
,калькулятор ,nonetype,электронный калькулятор,,
,аппа ,noun feminine,сестра,,
,аппа ,noun feminine,тётя,,
,аппа ,nonetype,моя старшая сестра,,
,аппа ,noun,сестрица,,
,Нидерландсем ,proper p,Нидерланды,,
,Нидерландсем ,nonetype,нидерланды,,
,тĕс ,nonetype,биологический вид,,
,тĕс ,noun masculine,вид,,
,тĕс ,noun masculine,цвет,,
,тĕс ,noun,вид,,
,Краснознаменск ,nonetype,Краснознамёнск,,
,Таифалсем ,nonetype,Таифалы,,
,Çĕр ,noun feminine,Земля,,
,Çĕр ,noun feminine,земля,,
,Çĕр ,adjective,земляной,,
,Çĕр ,noun feminine,ночь,,
,Çĕр ,nonetype,V гнить,,
,Çĕр ,proper feminine,Земля,,
,Çĕр ,noun masculine,грунт,,
,Çĕр ,nonetype,земельные угодья,,
,Çĕр ,adjective,земной,,
,Çĕр ,noun masculine,край,,
,Çĕр ,noun feminine,местность,,
,Çĕр ,adjective,ночной,,
,Çĕр ,noun feminine,почва,,
,Çĕр ,verb,разлагаться,,
,Çĕр ,numeral,сто,,
,Çĕр ,verb,тлеть,,
,Çĕр ,noun,участки,,
,пирĕшти ,noun masculine,ангел,,
,пирĕшти ,noun masculine,ангел,,
,йытӑ ,noun feminine,собака,,
,йытӑ ,noun masculine,пёс,,
,йытӑ ,noun feminine,псина,,
,Чăваш Енĕн Куславкка районĕ ,nonetype,Козловский район Чувашии,,
,босфор ,nonetype,босфор,,
,босфор ,proper masculine,Босфор,,
,ади ,noun masculine,отец,,
,эквадор ,nonetype,эквадор,,
,протон ,noun masculine,протон,,
,протон ,noun masculine,протон,,
,гели ,noun masculine,гелий,,
,гели ,noun,гелий,,
,Шаляпин Фёдор Иванович ,nonetype,Фёдор Иванович Шаляпин,,
,Балкан çурутравĕ ,proper masculine,Балканский полуостров,,
,Балкан çурутравĕ ,nonetype,Балканский п-ов,,
,Балкан çурутравĕ ,nonetype,балканский полуостров,,
,белград ,nonetype,белград,,
,белград ,proper,Белград,,
,килограмм ,noun masculine,килограмм,,
,килограмм ,noun,килограмм,,
,бавари ,nonetype,бавария,,
,бавари ,noun feminine,Бавария,,
,хура тулă ,nonetype,гречиха#гречиха обыкновенная,,
,гомер ,nonetype,гомер,,
,энциклопеди ,noun feminine,энциклопедия,,
,Лыхны ,nonetype,Лыхны,,
,Чăваш Республики ,proper feminine,Чувашия,,
,Чăваш Республики ,nonetype,Чувашская Республика,,
,Чăваш Республики ,nonetype,Чувашская республика,,
,Житомир ,masculine,Житомир,,
,тǎвǎр ,adjective masculine,узкий,,
,экстент ,noun,экстент,,
,экстент ,nonetype,Экстент,,
,Басаев Шамиль Салманович ,nonetype,Шамиль Салманович Басаев,,
,кентукки ,nonetype,кентукки,,
,кентукки ,proper masculine,Кентукки,,
,хĕвел анăç çур чăмăрĕ ,nonetype,западное полушарие,,
,джин ,noun masculine,джин,,
,джин ,noun,джин,,
,Избербаш ,nonetype,Избербаш,,
,хăрама ,verb,бояться,,
,хăрама ,verb,страшиться,,
,сун ,verb,желать,,
,сун ,nonetype,империя сун,,
,сун ,verb,пожелать,,
,сун ,verb,хотеть,,
,сун ,nonetype,Сун,,
,Хĕвелтухăç енчи Европа ,proper feminine,Восточная Европа,,
,мьянма ,nonetype,мьянма,,
,мьянма ,proper feminine,Мьянма,,
,иерихон ,nonetype,иерихон,,
,кремни ,noun masculine,кремний,,
,кремни ,noun,кремний,,
,Анатоли çурутравĕ ,proper feminine,Малая Азия,,
,Анатоли çурутравĕ ,nonetype,малая азия,,
,проституци ,noun feminine,проституция,,
,проституци ,noun,проституция,,
,хырăмлăх ракĕ ,nonetype,рак желудка,,
,хырăмлăх ракĕ ,nonetype,рак желудка,,
,-те ,noun,в,,
,-те ,adposition,во,,
,-те ,adverb,возле,,
,-те ,adposition,около,,
,-те ,noun,при,,
,-те ,noun,у,,
,сурма ,verb,плевать,,
,сурма ,verb,плюнуть,,
,пăрма ,verb impf,вертеть,,
,пăрма ,verb impf,вращать,,
,пăрма ,verb impf,крутить,,
,пăрма ,verb pf,повернуть,,
,пăрма ,verb impf,поворачивать,,
,Антверпен ,noun masculine,Антверпен,,
,Антверпен ,nonetype,антверпен,,
,шыçма ,verb,набухать,,
,шыçма ,verb,отекать,,
,шыçма ,verb,пухнуть,,
,Грозный ,noun masculine,Грозный,,
,Грозный ,proper masculine,грозный,,
,коса чĕлхи ,nonetype,Коса,,
,коса чĕлхи ,proper feminine,коса,,
,Ганза ушкăнĕ ,masculine,Ганзейский союз,,
,аризона ,nonetype,аризона,,
,аризона ,proper feminine,Аризона,,
,Çĕнĕ Джерси ,proper masculine,Нью-Джерси,,
,Чайковски ,proper,Чайковский,,
,Вырсарникун ,nonetype,Воскресенье,,
,Вырсарникун ,noun neuter,воскресенье,,
,текила ,noun feminine,текила,,
,текила ,nonetype,Текила,,
,Ливан ялавĕ ,nonetype,Флаг Ливана,,
,Воронеж ,proper masculine,Воронеж,,
,Ори ,nonetype,Ория,,
,Сунгари ,nonetype,Сунгари,,
,Сунгари ,nonetype,сунгари,,
,хуркайăк çулĕ ,nonetype,млечный путь,,
,ILO ,nonetype,Международная организация труда,,
,вилӗм ,noun feminine,смерть,,
,вилӗм ,noun feminine,гибель,,
,вилӗм ,noun feminine,кончина,,
,вилӗм ,noun feminine,погибель,,
,Анăç Вирджини ,proper feminine,Западная Вирджиния,,
,Париж ,proper masculine,Париж,,
,волейбол ,noun masculine,волейбол,,
,волейбол ,noun,волейбол,,
,джоуль ,noun masculine,джоуль,,
,джоуль ,noun,джоуль,,
,хӱре ,noun masculine,хвост,,
,литва чĕлхи ,proper masculine,литовский язык,,
,Анатри Рейн ,nonetype,Рейн Нижний,,
,ссср ,nonetype,союз советских социалистических республик,,
,ссср ,proper masculine,СССР,,
,ссср ,proper masculine,Союз Советских Социалистических Республик,,
,финлянди ,nonetype,финляндия,,
,финлянди ,proper, noun feminine,Финляндия,,
,финлянди ,proper feminine,Суоми,,
,Румянова Клара Михайловна ,nonetype,Клара Михайловна Румянова,,
,тута купăсĕ ,noun feminine,губная гармоника,,
,тута купăсĕ ,nonetype,губная гармоника,,
,Хеопс пирамиди ,nonetype,Пирамида Хеопса,,
,Хеопс пирамиди ,proper feminine,пирамида Хеопса,,
,Хеопс пирамиди ,proper feminine,пирамида Хуфу,,
,Миасс ,nonetype,Миасс,,
,Венгри патшалăхĕн гимнĕ ,nonetype,Гимн Венгрии,,
,тăри йышшисем ,noun,жаворонковые,,
,тăри йышшисем ,nonetype,Жаворонковые,,
,кӳкĕрт ,noun feminine,сера,,
,кӳкĕрт ,noun adjective feminine,сера,,
,телефон ,noun masculine,телефон,,
,телефон ,adjective,телефонный,,
,телефон ,noun masculine,телефон,,
,музей ,noun masculine,музей,,
,музей ,noun masculine,музей,,
,Кăнтăр Африка Республики ,proper feminine,Южно-Африканская Республика,,
,Кăнтăр Африка Республики ,nonetype,южно-африканская республика,,
,Кипр Республики ,proper masculine,Кипр,,
,Кипр Республики ,nonetype,республика кипр,,
,Тури Прованс Альпĕ ,proper,Альпы Верхнего Прованса,,
,Канаш ,nonetype,Канаш,,
,Канаш ,noun,совет,,
,казахстан ,nonetype,казахстан,,
,казахстан ,proper, noun masculine,Казахстан,,
,курăк вăрри ,noun neuter,семя,,
,курăк вăрри ,noun neuter,семя,,
,Савойя ,proper,Савойя,,
,лайм ,noun masculine,лайм,,
,лайм ,noun,лайм,,
,кобальт ,noun masculine,кобальт,,
,кобальт ,noun masculine,кобальт,,
,Ткварчели ,nonetype,Ткварчели,,
,Свейсем ,nonetype,Свеи,,
,Мăкшă ,nonetype,Мокша,,
,Мăкшă ,nonetype,мокша,,
,Мăкшă ,adjective,мокшанский,,
,шӑл ,noun masculine,зуб,,
,шӑл ,noun masculine,зубы,,
,Тенктерсем ,nonetype,Тенктеры,,
,юань йăх-несĕлĕ ,noun masculine,юань,,
,кофе-брейк ,nonetype,кофе-брейк,,
,кофе-брейк ,nonetype,Кофе-брейк,,
,Готсем ,nonetype,Готы,,
,мучи ,noun masculine,дядя,,
,мучи ,nonetype,мой дядя,,
,çăлтăрлăх ,noun neuter,созвездие,,
,çăлтăрлăх ,noun,созвездие,,
,израиль ,nonetype,израиль,,
,израиль ,proper masculine,Израиль,,
,Тутарсем ,nonetype,Татары,,
,алӑк ,noun u043du0435u0442u0443,дверь,,
,алӑк ,noun f-p,двери,,
,шалу ,noun feminine,заработная плата,,
,шалу ,noun,оклад,,
,Хирлеппуç Мĕлĕш ,nonetype,Хирлеппоси,,
,астрофизика ,noun feminine,астрофизика,,
,астрофизика ,noun,астрофизика,,
,тинĕс уланки ,noun masculine,окунь,,
,алжир ,nonetype,алжир,,
,алжир ,proper masculine,Алжир,,
,рени ,noun masculine,рений,,
,рени ,noun masculine,рений,,
,Берилий ,noun masculine,бериллий,,
,Берилий ,noun masculine,бериллий,,
,нӳрнберг ,nonetype,нюрнберг,,
,ударени ,noun neuter,ударение,,
,ударени ,noun,ударение,,
,пимпĕ ,noun masculine,зяблик,,
,крым тутарĕсен чĕлхи ,proper,крымскотатарский,,
,крым тутарĕсен чĕлхи ,proper,крымскотатарский язык,,
,крым тутарĕсен чĕлхи ,proper,крымскотатарский язык,,
,мăк ,noun masculine,мох,,
,мăк ,nonetype,моховой,,
,мăк ,noun,мхи,,
,мăк ,noun,мхи,,
,киршвассер ,nonetype,киршвассер,,
,Ленин ,nonetype,Владимир Ильич Ленин,,
,шыв сикки ,noun masculine,водопад,,
,шыв сикки ,noun masculine,водопад,,
,массачусетс ,nonetype,массачусетс,,
,массачусетс ,proper masculine,Массачусетс,,
,Миссисипи ,noun masculine,Миссисипи,,
,Миссисипи ,nonetype,миссисипи,,
,неаполь ,nonetype,неаполь,,
,грамм ,noun masculine,грамм,,
,грамм ,noun,грамм,,
,чӳрече ,noun neuter,окно,,
,абак ,noun masculine,абак,,
,абак ,noun masculine,абак,,
,мичиган ,nonetype,мичиган,,
,мичиган ,proper masculine,Мичиган,,
,чавма ,verb,копать,,
,чавма ,verb impf,рыть,,
,куккук евĕрлисем ,nonetype,кукушковые,,
,Скопье ,proper neuter,Скопье,,
,Скопье ,nonetype,скопье,,
,ботсвана ,nonetype,ботсвана,,
,ботсвана ,proper feminine,Ботсвана,,
,литр ,noun masculine,литр,,
,литр ,noun,литр,,
,Белиз ,proper masculine,Белиз,,
,Белиз ,nonetype,белиз,,
,батальон ,noun masculine,батальон,,
,батальон ,noun,батальон,,
,виктор ,nonetype,виктор,,
,виктор ,noun,Виктор,,
,чуллă ĕмĕр ,proper masculine,каменный век,,
,Казахстан патшалăхĕн гимнĕ ,nonetype,Гимн Казахстана,,
,тивĕçлĕ ирĕклĕх ,noun neuter,право,,
,тивĕçлĕ ирĕклĕх ,nonetype,правовая норма,,
,гамбург ,nonetype,гамбург,,
,тимĕр ĕмĕр ,proper masculine,железный век,,
,рига ,noun,рига,,
,рига ,noun feminine,Рига,,
,Теччĕ ,nonetype,Тетюши,,
,чарăну палли ,m-p,знаки препинания,,
,чарăну палли ,nonetype,знаки препинания,,
,чарăну палли ,noun,пунктуация,,
,Сĕнтĕрвăрри ,nonetype,Мариинский Посад,,
,Сĕнтĕрвăрри ,nonetype,Мариинский посад г.,,
,Эрнекун ,nonetype,Пятница,,
,Эрнекун ,noun feminine,пятница,,
,ывǎтма ,verb,бросать,,
,ывǎтма ,verb,кидать,,
,ывǎтма ,nonetype,мeтать,,
,ывǎтма ,verb,швырять,,
,Поляксем ,nonetype,Поляки,,
,Поляксем ,noun,поляки,,
,тӳрĕ ,adjective,прямой,,
,пуҫ ,noun feminine,голова,,
,пыршă ,noun,внутренности,,
,пыршă ,noun feminine,кишка,,
,пыршă ,noun feminine,кишки,,
,пыршă ,noun feminine,утроба,,
,пыршă ,noun,чрево,,
,пыршă ,adjective,кишечный,,
,пыршă ,nonetype,рукав насоса,,
,пыршă ,noun masculine,шланг,,
,хыпарсем ,noun feminine,новости,,
,хыпарсем ,noun,новости,,
,анатоли çурутравĕ ,nonetype,малая азия,,
,анатоли çурутравĕ ,proper feminine,Малая Азия,,
,хырăмлăх ,noun masculine,желудок,,
,хырăмлăх ,nonetype,желудок человека,,
,хырăмлăх ,nonetype,желудок человека,,
,Çурçĕр Европа ,proper feminine,Северная Европа,,
,утрав ,noun masculine,остров,,
